id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
20612,M,1.6125,1.15,0.4,31.2694985,15.252031,6.2652395,7.0590255,9
2935,F,1.525,1.175,0.4125,30.220567,12.23280925,7.0023265,8.9300925,10
73847,M,1.5,1.1625,0.3875,29.1149365,13.1258185,6.16601625,8.0796075,12
46445,M,1.125,0.8875,0.2375,12.99824575,5.499803,2.891649,3.685435,10
66755,I,0.8625,0.6375,0.1875,4.2807745,1.644271,0.737087,1.2757275,6
33612,F,1.4625,1.15,0.375,28.76056775,12.8423235,6.25106475,8.50485,12
53258,M,0.625,0.475,0.175,2.8066005,0.97805775,0.510291,0.7087375,6
25748,F,1.5875,1.2125,0.3875,32.9137695,15.86154525,6.5487345,9.07184,11
44110,F,1.6,1.25,0.425,35.81959325,14.84096325,7.27164675,10.0640725,11
23366,M,1.5,1.2625,0.425,38.34269875,17.67591325,8.29222875,10.3475675,11
49927,F,1.4,1.1125,0.4,23.14736675,7.087375,5.42892925,7.087375,9
69761,F,1.625,1.2375,0.425,37.32211675,14.968536,7.200773,11.623295,18
28507,F,1.1625,0.9125,0.325,11.55242125,4.29494925,2.65067825,4.12485225,14
4032,F,1.375,1.125,0.375,26.1098895,11.35397475,6.39281225,8.0796075,10
30507,I,1.3375,1.05,0.325,20.42581475,9.42620875,4.649318,4.7343665,8
13889,M,1.2875,1.0625,0.3375,21.659018,9.99319875,4.37999775,6.23689,9
66686,M,1.675,1.3125,0.5375,48.26502375,15.365429,8.57572375,17.860185,20
19832,I,1.1875,0.9,0.3,15.87572,6.50621025,3.44446425,3.81300775,7
66468,I,1.4125,1.0625,0.325,26.12406425,10.4609655,6.10931725,7.2291225,10
70829,I,0.775,0.5375,0.15,2.83495,1.20485375,0.63786375,1.020582,7
9936,I,1.4,1.125,0.375,27.76833525,12.77144975,6.08096775,6.6621325,9
62281,F,1.1,0.8625,0.25,11.7083435,4.819415,2.90582375,3.685435,8
71728,I,0.975,0.725,0.225,7.540967,2.70737725,1.63009625,2.1829115,7
49809,M,1.5375,1.1875,0.3875,29.0015385,13.90542975,5.79747275,8.80251975,10
16809,I,0.9125,0.675,0.25,6.23689,3.4302895,1.587572,2.14038725,10
35883,F,1.5625,1.2375,0.4125,31.68056625,13.08329425,8.561549,9.63883,10
24863,F,1.4875,1.1875,0.375,28.2644515,12.91319725,6.973977,8.221355,8
23963,I,0.7875,0.6125,0.1875,4.80524025,2.438057,1.13398,1.13398,7
71489,M,1.4625,1.225,0.375,31.638042,13.25339125,6.6621325,7.654365,9
17313,I,0.925,0.6875,0.2375,6.293589,2.65067825,1.587572,2.26796,6
46457,F,1.55,1.25,0.4375,32.16250775,13.947954,7.427569,8.9300925,11
53475,I,0.6875,0.5,0.1625,2.721552,1.0489315,0.52446575,0.850485,6
23654,I,1.1125,0.85,0.3125,13.267566,5.03203625,3.04757125,3.2601925,10
34420,M,0.95,0.725,0.25,7.2858215,2.8066005,1.4458245,2.4097075,7
69997,F,1.55,1.2125,0.4375,30.560761,14.288148,7.86698625,8.20718025,11
59878,I,0.6875,0.5,0.1625,2.664853,0.86465975,0.52446575,0.850485,5
6019,I,1.2875,1.0375,0.3875,20.19901875,9.0434905,3.912231,6.9456275,8
8140,I,1.125,0.8625,0.325,10.886208,4.69184225,2.22543575,3.118445,7
16617,I,0.8125,0.6,0.2125,4.3941725,1.31825175,1.077281,1.70097,9
28907,F,1.5875,1.25,0.3875,35.210079,14.401546,8.051258,9.4970825,21
70664,M,1.5375,1.175,0.375,30.83008125,14.10387625,8.0229085,9.2135875,11
66996,M,1.425,1.1,0.375,31.6096925,13.721158,5.99591925,10.0640725,10
26688,M,1.5625,1.1375,0.3625,30.674159,14.04717725,5.499803,7.087375,12
53885,I,1.3125,1.025,0.325,19.8163005,9.56795625,3.98310475,6.520385,8
68854,I,0.95,0.6625,0.2375,6.56290925,2.551455,1.51669825,1.984465,6
27187,M,1.6125,1.25,0.4375,41.00755175,19.674553,8.448151,10.64523725,10
5874,F,1.275,0.95,0.3875,17.90270925,7.38504475,3.231843,5.386405,10
62098,I,1.2375,1.0,0.3375,17.293195,7.711064,4.082328,4.53592,9
36167,M,1.7375,1.4,0.5375,49.5265765,20.638436,11.60912025,15.7906715,12
38454,M,1.4125,1.1,0.3875,22.92057075,9.85145125,4.86193925,6.80388,15
38932,M,1.4375,1.125,0.4125,30.46153775,13.96212875,6.690482,8.221355,10
7829,M,1.5375,1.2,0.425,34.6147395,17.1514475,7.3992195,8.3631025,11
29525,M,1.275,1.0125,0.3375,18.01610725,7.78193775,5.3580555,5.953395,13
47450,F,1.175,0.8875,0.3125,11.89261525,4.7343665,2.721552,3.9405805,10
61201,F,1.15,0.9125,0.35,14.8267885,6.0951425,2.76407625,4.15320175,10
22223,I,1.05,0.825,0.25,10.19164525,4.66349275,1.77184375,2.28213475,8
34252,F,1.4,1.1125,0.4375,28.02348075,15.3937785,5.8116475,6.9456275,8
36416,M,1.3125,1.05,0.3375,19.17843675,7.257472,4.422522,5.8116475,13
8073,I,0.45,0.3375,0.125,0.907184,0.3118445,0.18427175,0.283495,4
60812,M,1.5,1.1875,0.475,32.0065855,10.375917,8.43397625,10.20582,18
6666,M,1.5125,1.2375,0.4125,29.21415975,11.97766375,7.01650125,11.1980525,18
37470,F,1.8,1.4375,0.4625,49.45570275,19.20678625,10.035723,14.98271075,10
73275,I,1.0625,0.8125,0.275,9.19941275,3.798833,2.1262125,2.9766975,8
62582,F,1.1,0.8125,0.275,12.133586,5.9817445,2.33883375,3.21766825,9
25445,F,1.6125,1.25,0.45,37.9032815,13.25339125,9.51125725,10.489315,11
31479,M,1.25,0.95,0.3875,19.74542675,7.35669525,4.01145425,5.2446575,17
56126,M,1.475,1.1375,0.4,25.33027825,12.82814875,5.74077375,6.6621325,9
37648,I,1.425,1.075,0.3875,22.169309,10.61688775,4.3941725,6.3219385,8
17781,M,1.55,1.2125,0.3875,29.7386255,13.097469,6.5487345,7.087375,11
10063,M,0.725,0.5625,0.2,3.67126025,1.51669825,0.737087,1.2757275,6
31964,M,1.6875,1.3125,0.475,42.921143,17.8885345,8.29222875,11.3398,11
19438,M,1.6625,1.25,0.425,36.78347625,17.10892325,8.2497045,10.19164525,10
55444,M,1.1875,0.925,0.325,21.035329,8.71747125,3.92640575,5.2446575,7
2373,M,1.425,1.125,0.4125,27.385617,12.40290625,6.123492,8.788345,10
7844,M,1.625,1.3125,0.45,43.95589975,18.3421265,11.2547515,12.6155275,11
50219,M,1.55,1.2,0.425,29.9087225,12.8423235,6.50621025,7.5126175,15
35283,M,1.625,1.2375,0.5,41.34774575,14.38737125,8.391452,12.190285,10
64517,I,0.7,0.525,0.1875,3.515338,1.34660125,0.56699,0.850485,6
45673,M,1.1625,0.8625,0.2875,12.60135275,6.4353365,3.01922175,3.3735905,7
3154,F,1.4125,1.0625,0.3375,21.24795025,10.149121,5.34388075,6.23689,11
37241,F,1.15,0.875,0.275,16.839603,7.824462,2.90582375,5.10291,13
41922,I,0.9625,0.725,0.2125,6.8322295,2.5231055,1.37495075,2.4097075,6
14491,I,1.3125,1.0,0.3625,18.75319425,7.824462,3.98310475,5.386405,11
62060,M,0.4375,0.3125,0.1,0.69456275,0.26932025,0.12757275,0.226796,5
8413,M,1.2625,0.9625,0.3125,18.3988255,8.32057825,4.479221,4.819415,8
54297,M,1.2625,0.9875,0.3625,20.638436,7.8528115,4.03980375,6.0951425,12
39471,M,1.025,0.8125,0.2125,10.61688775,4.479221,2.2963095,3.5436875,7
26976,I,0.775,0.5125,0.1875,3.41611475,1.34660125,0.623689,1.020582,6
59483,I,1.15,0.8875,0.275,12.360382,5.59902625,2.721552,3.685435,7
31840,M,1.2625,0.975,0.3875,24.6924145,6.973977,4.46504625,9.7805775,17
40022,I,1.375,1.125,0.3625,23.756881,10.75863525,4.0539785,6.23689,15
24622,I,1.4125,1.0,0.325,19.77377625,8.71747125,4.72019175,5.10291,9
24186,M,1.4125,1.075,0.375,26.86115125,10.47514025,4.649318,9.4970825,10
6038,I,1.2,0.9375,0.2875,17.406593,7.6260155,3.81300775,4.2240755,7
65711,F,1.375,1.0625,0.325,19.23513575,9.6671795,3.75630875,5.5281525,9
8603,M,1.425,1.0875,0.35,24.73493875,10.0640725,5.71242425,7.2291225,10
27951,F,1.5,1.2125,0.4125,31.808139,13.9763035,6.56290925,9.2135875,19
32018,F,1.4625,1.1375,0.4125,32.95629375,11.07047975,6.7755305,8.9300925,16
49715,F,1.3375,1.075,0.4125,20.3265915,8.1930055,4.94698775,5.5281525,11
67374,M,1.3125,1.025,0.3875,24.9192105,8.94426725,5.556502,8.0796075,10
56068,I,1.3,1.0,0.2875,18.71067,9.31281075,3.40194,4.819415,11
41346,I,0.55,0.4,0.1375,1.54504775,0.60951425,0.340194,0.56699,5
61846,I,0.9375,0.6625,0.25,6.23689,3.005047,1.020582,1.70097,7
1507,I,1.0,0.8,0.25,9.36950975,3.69960975,1.97029025,2.551455,7
67346,I,1.375,1.075,0.4125,24.79163775,12.2753335,5.68407475,6.0951425,8
57768,I,0.8375,0.65,0.225,5.08873525,2.154562,1.48834875,1.5592225,7
12476,I,0.5375,0.375,0.1,1.09145575,0.52446575,0.1417475,0.3685435,3
39858,M,1.4875,1.1625,0.375,28.05183025,11.97766375,6.50621025,8.788345,13
12173,I,1.075,0.85,0.25,13.16834275,6.95980225,2.948348,3.118445,6
4319,I,0.75,0.575,0.2,3.3168915,1.31825175,0.75126175,1.13398,5
35746,M,1.325,1.0875,0.375,21.772416,7.654365,4.52174525,7.2291225,10
42408,M,1.4625,1.125,0.425,26.09571475,11.453198,7.10154975,7.087375,10
73191,I,1.2,1.0125,0.3375,16.85377775,7.654365,3.35941575,5.2446575,8
53417,M,1.175,0.925,0.2625,14.75591475,5.71242425,2.721552,4.6776675,9
14766,I,1.225,1.0,0.325,17.7184375,6.747181,3.44446425,5.953395,9
62210,M,1.65,1.3,0.45,39.7743485,19.37688325,8.57572375,11.90679,10
59157,F,1.4125,1.125,0.375,26.2232875,10.77281,6.13766675,7.087375,11
19656,M,1.575,1.25,0.4375,37.9032815,14.968536,7.98038425,10.489315,24
15208,M,1.2625,0.9625,0.3125,16.896302,4.9611625,3.7137845,5.953395,11
34756,M,1.5,1.1875,0.3875,26.2232875,9.25611175,6.2085405,7.087375,11
13422,M,1.1625,0.875,0.2125,12.99824575,5.57067675,2.2963095,3.40194,7
8663,F,1.375,1.0125,0.3125,18.4555245,8.40562675,3.8838815,5.6699,8
61482,F,1.575,1.2,0.425,35.19590425,14.69921575,7.44174375,9.17106325,9
7963,F,1.4875,1.1875,0.4125,28.8314415,13.5227115,6.066793,6.9456275,9
32709,I,0.5625,0.4125,0.15,1.190679,0.7087375,0.43941725,0.4252425,4
55084,F,1.6625,1.2625,0.4375,36.32988425,17.22232125,7.78193775,10.0640725,10
29522,M,1.65,1.3125,0.4625,41.8722115,19.94387325,8.0229085,10.0640725,9
40268,M,1.1125,0.9375,0.35,19.77377625,9.525432,3.6570855,5.17378375,9
27171,I,0.725,0.5125,0.175,2.76407625,1.020582,0.5386405,0.9922325,6
28861,M,1.6375,1.3,0.4,37.1094955,14.3164975,7.3425205,11.1980525,12
5201,I,1.1625,0.8875,0.3125,18.01610725,9.79475225,4.5642695,4.819415,8
15975,F,1.3,1.0125,0.3375,22.21183325,9.90815025,4.86193925,6.19436575,13
52078,M,1.575,1.3125,0.4875,37.23706825,13.79203175,8.49067525,11.55242125,10
66000,I,0.9,0.7375,0.225,6.8322295,2.45223175,1.5025235,2.45223175,7
44703,I,1.1625,0.8875,0.25,13.267566,5.68407475,3.50116325,3.572037,8
52513,F,1.45,1.1125,0.375,23.09066775,10.5176645,4.876114,6.6621325,11
16028,F,1.3125,1.0,0.3125,18.824068,6.81805475,3.7137845,5.953395,15
38793,M,1.4,1.1625,0.35,26.64853,10.489315,5.2446575,8.66077225,11
50046,F,1.55,1.175,0.4,30.06464475,14.4865945,4.5075705,8.50485,9
23240,M,1.15,0.8875,0.3125,16.726205,7.10154975,3.33106625,4.9611625,8
66220,M,1.5625,1.175,0.3875,32.6302745,14.67086625,6.42116175,8.0796075,10
2645,I,0.9,0.6625,0.2125,5.85417175,2.721552,1.417475,1.70097,6
4203,F,1.4125,1.1125,0.35,27.8108595,13.1825175,6.5487345,7.087375,13
57159,F,1.575,1.25,0.3875,33.18308975,14.92601175,7.98038425,9.922325,12
52983,F,1.0875,0.8625,0.2625,10.3475675,4.422522,1.7860185,3.5436875,11
53005,M,1.325,1.125,0.35,22.5378525,9.59630575,4.195726,6.9456275,10
34338,I,0.8,0.6125,0.225,4.876114,1.984465,1.06310625,1.417475,6
54509,F,1.5125,1.225,0.475,34.58639,13.5794105,7.75358825,9.7805775,10
11429,F,1.475,1.1875,0.4125,31.2694985,14.5432935,7.0023265,8.788345,8
60993,F,1.4375,1.125,0.5125,35.550273,11.793392,7.7961125,10.20582,13
68503,I,1.15,0.8625,0.275,12.303683,5.8683465,2.42388225,3.44446425,8
4644,F,1.625,1.3125,0.4125,39.2640575,25.16018125,8.77417025,11.4815475,11
43228,I,0.9375,0.7125,0.2125,6.59125875,3.2601925,1.190679,1.71514475,9
42392,M,1.4,1.125,0.4,26.01066625,11.35397475,5.59902625,7.37087,9
52659,I,1.4875,1.15,0.3,24.2955215,10.47514025,4.12485225,6.9456275,9
60596,I,0.7125,0.5,0.2,3.30271675,1.34660125,1.00640725,0.9922325,5
62178,I,0.9,0.675,0.2125,5.8116475,2.721552,1.11980525,1.984465,6
39951,I,0.9375,0.7125,0.2375,7.654365,3.118445,1.7293195,2.08368825,10
14486,F,1.475,1.0625,0.375,26.1098895,10.149121,6.67630725,7.2291225,11
27479,F,1.5,1.2625,0.4375,35.2384285,17.4349425,7.3425205,11.056305,10
66913,M,1.575,1.2125,0.375,35.50774875,18.5122235,6.747181,9.355335,9
2522,I,0.7,0.6125,0.1875,4.082328,1.2757275,0.94970825,1.13398,7
53179,F,1.5875,1.2625,0.4875,41.7743485,19.6462035,7.4559185,11.4815475,9
72205,M,1.45,1.0875,0.4125,29.97959625,12.47378,7.087375,8.9300925,11
24522,M,1.525,1.2125,0.375,29.596878,12.2186345,6.2085405,8.6465975,13
73399,F,1.5625,1.2625,0.35,30.94347925,13.08329425,6.90310325,8.80251975,10
58642,F,1.5625,1.2375,0.4375,31.581343,14.04717725,7.78193775,8.221355,12
21885,I,1.0625,0.8125,0.275,9.45455825,4.9044635,1.2757275,2.83495,6
72911,F,1.4375,1.125,0.375,26.54930675,11.8784405,6.0384435,7.37087,13
55247,M,1.3875,1.05,0.375,27.9242575,11.793392,5.57067675,7.087375,9
19409,F,1.6125,1.225,0.5,33.38153625,13.99047825,8.901743,9.7805775,14
17723,I,1.0125,0.775,0.225,8.0229085,3.7137845,1.91359125,2.62232875,8
29440,M,1.6,1.25,0.4375,32.034935,12.984071,7.52679225,9.2135875,11
37021,I,0.9625,0.725,0.25,7.04485075,3.458639,1.40330025,2.83495,8
8454,F,1.5125,1.225,0.3625,32.13415825,16.612807,7.27164675,6.7188315,8
