id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
15559,2,0,0,3,0,0,1,65,2018,11,2,0,0,0,0,60.0,2,0
32783,2,0,1,4,0,0,1,73,2018,12,26,1,0,0,0,111.6,1,0
11797,3,0,0,3,0,0,1,81,2018,9,8,1,0,0,0,168.3,0,1
39750,2,0,0,1,2,0,0,221,2018,8,12,0,0,0,0,115.0,1,1
28711,2,0,2,3,0,0,1,95,2018,10,7,1,0,0,0,132.3,0,1
40522,3,0,1,3,0,0,1,119,2018,10,7,1,0,0,0,151.2,1,0
23629,1,0,1,2,0,0,0,1,2018,2,28,0,0,0,0,60.0,0,1
26891,1,0,1,2,0,0,0,4,2017,11,19,0,0,0,0,65.0,0,0
25858,2,0,0,1,2,0,0,34,2017,7,29,0,0,0,0,224.67,0,1
37166,2,0,0,2,2,0,0,39,2017,10,14,0,0,0,0,109.0,0,0
29720,2,1,2,1,0,0,0,8,2018,7,10,1,0,0,0,130.5,0,1
14612,2,2,2,1,0,0,2,3,2018,2,13,1,0,0,0,85.03,2,0
17784,2,0,0,3,0,0,0,152,2018,8,19,1,0,0,0,114.3,0,1
17537,3,0,2,2,0,0,1,60,2018,3,26,1,0,0,0,123.3,0,1
26453,2,0,1,2,0,0,0,189,2018,3,25,0,0,0,0,60.0,1,0
16048,1,0,0,2,2,0,0,102,2017,10,18,0,0,0,0,87.0,0,0
30192,2,0,2,4,0,0,1,205,2018,8,22,1,0,0,0,109.8,0,1
35127,3,0,2,1,0,0,1,54,2018,7,10,1,0,0,0,160.47,1,0
30125,2,1,0,4,0,0,0,7,2018,2,22,1,0,0,0,111.0,2,0
33667,2,0,0,4,0,0,0,221,2018,8,12,1,0,0,0,90.95,0,1
2071,2,0,1,0,1,0,0,250,2018,9,26,1,0,0,0,95.4,0,1
6197,2,0,0,3,0,0,2,218,2018,9,13,1,0,0,0,96.3,0,1
38364,2,0,2,0,1,0,0,59,2018,10,31,1,0,0,0,60.35,0,1
3202,2,0,0,2,0,1,0,6,2018,8,6,1,0,0,0,170.0,2,0
2034,2,0,2,2,0,0,1,66,2018,3,20,1,0,0,0,87.32,0,0
40072,2,0,0,3,0,0,0,192,2017,9,25,1,0,0,0,102.0,0,1
264,2,1,1,3,0,0,0,189,2018,8,8,0,0,0,0,72.25,0,0
16728,3,0,0,3,0,0,1,128,2018,10,9,1,0,0,0,151.2,2,0
32811,2,0,2,2,0,0,0,14,2018,11,4,0,0,0,0,43.5,0,0
9267,2,0,1,2,0,0,0,105,2018,10,6,0,0,0,0,110.0,0,1
34548,1,0,0,1,0,0,0,0,2018,12,16,2,1,0,2,65.0,1,0
28613,1,0,0,1,0,0,0,0,2017,9,24,0,0,0,0,133.0,0,0
36414,2,0,2,3,0,0,0,222,2018,9,19,1,0,0,0,111.35,2,1
41203,2,2,2,5,0,0,3,149,2018,7,1,1,0,0,0,173.25,0,1
19284,2,0,2,2,0,0,0,166,2018,5,29,1,0,0,0,99.45,0,1
32306,2,0,0,2,2,0,0,14,2017,8,17,0,0,0,0,82.0,0,0
741,2,0,1,3,0,0,0,308,2018,11,23,1,0,0,0,78.3,0,1
4641,0,2,0,3,0,0,0,151,2018,5,17,1,0,0,0,95.82,0,1
27551,2,0,1,3,0,0,4,34,2018,10,10,1,0,0,0,153.0,1,0
37315,2,0,0,4,0,0,1,14,2018,6,7,1,0,0,0,152.67,1,0
13370,2,0,0,4,0,0,0,164,2018,8,4,1,0,0,0,99.45,0,1
16313,1,0,2,3,0,0,0,41,2017,10,18,1,0,0,0,105.0,0,0
29212,2,0,1,1,2,0,0,9,2017,10,10,0,0,0,0,115.0,1,0
1719,1,0,0,3,0,0,0,271,2017,9,21,0,0,0,0,85.67,0,0
19240,2,0,1,4,0,0,1,109,2018,4,25,1,0,0,0,97.75,1,0
32648,1,0,1,3,0,0,0,80,2018,7,25,0,0,0,0,96.0,0,0
6860,2,0,0,5,0,0,0,176,2018,8,9,1,0,0,0,99.45,0,1
1097,2,0,0,2,0,0,0,74,2018,12,2,0,0,0,0,75.0,0,0
7119,2,0,0,4,0,0,0,253,2018,10,4,1,0,0,0,90.0,0,1
16606,2,0,1,2,0,0,0,109,2018,12,11,1,0,0,0,114.25,1,0
4483,2,0,0,2,2,0,0,346,2018,9,9,0,0,0,0,115.0,1,0
4805,2,0,0,3,0,0,1,14,2018,8,3,1,0,0,0,166.0,2,0
37399,2,0,0,5,0,0,1,230,2018,10,6,1,0,0,0,137.0,0,1
12387,2,0,0,5,0,0,2,9,2018,1,29,1,0,0,0,79.25,0,0
7117,2,0,1,3,0,0,1,98,2018,5,9,1,0,0,0,132.6,1,0
6216,1,0,2,3,0,0,0,91,2018,4,12,1,0,0,0,90.9,1,0
16548,2,0,2,5,0,0,0,170,2018,5,8,0,0,0,0,78.0,0,0
16602,2,0,0,2,2,0,0,37,2018,3,26,1,0,0,0,143.1,0,1
11343,2,0,2,1,0,0,0,226,2018,10,29,1,0,0,0,90.0,0,1
28009,2,0,0,2,0,0,0,292,2018,7,21,1,0,0,0,112.0,0,1
37014,2,0,0,2,1,0,0,174,2018,7,27,1,0,0,0,85.5,2,1
15505,2,0,1,0,0,0,0,286,2017,10,16,1,0,0,0,90.0,0,1
9141,1,0,0,1,0,0,0,89,2018,12,10,1,0,0,0,104.0,2,0
30078,2,0,2,0,0,0,0,244,2018,10,30,0,0,0,0,105.4,0,1
22234,2,0,2,2,0,0,1,5,2018,6,1,1,0,0,0,156.0,0,1
40341,1,0,0,3,0,0,0,8,2017,12,1,0,0,0,0,64.8,0,0
20352,2,0,1,4,0,0,0,120,2018,4,22,1,0,0,0,95.2,0,1
11941,2,0,1,2,0,0,0,0,2018,9,7,0,0,0,0,99.2,0,0
6053,2,1,0,3,0,0,0,164,2018,8,30,1,0,0,0,164.25,2,1
5890,2,0,2,0,0,0,0,166,2018,7,31,1,0,0,0,96.3,1,0
6746,2,0,1,3,0,0,0,85,2018,4,6,0,0,0,0,85.0,0,0
10969,1,0,1,2,0,0,4,36,2018,6,19,0,0,0,0,110.8,1,0
19144,2,0,0,2,0,0,5,3,2017,12,17,4,0,0,0,0.0,0,0
8388,1,0,0,3,2,0,0,88,2018,5,3,0,0,0,0,96.0,0,0
13124,2,0,0,2,0,0,0,129,2018,8,25,1,0,0,0,114.3,1,0
39152,2,1,0,2,0,0,0,156,2018,7,1,1,0,0,0,121.5,1,1
38906,2,0,1,1,0,0,0,59,2018,12,17,0,0,0,0,72.0,0,0
4335,2,0,0,2,0,0,1,155,2018,8,27,1,0,0,0,143.07,2,1
26794,2,0,0,2,0,0,0,198,2017,9,9,0,0,0,0,90.0,0,1
32404,2,0,2,5,0,0,0,95,2018,6,29,0,0,0,0,86.36,0,0
9598,3,0,2,1,0,0,1,202,2018,10,22,1,0,0,0,128.7,0,1
25147,2,0,2,2,0,0,0,134,2017,9,4,0,0,0,0,65.0,0,0
28121,2,0,2,2,0,0,0,206,2018,10,25,1,0,0,0,102.85,0,1
20363,2,0,2,5,0,0,0,25,2017,10,11,0,0,0,0,72.76,0,1
28014,2,0,0,2,0,0,0,4,2017,10,19,0,0,0,0,100.8,1,0
120,3,0,2,4,0,0,1,28,2018,4,17,1,0,0,0,133.4,2,1
17114,2,0,0,4,0,0,0,323,2018,5,12,1,0,0,0,70.0,0,1
4634,1,0,2,1,0,0,0,1,2017,9,8,0,0,0,0,91.2,0,0
13728,2,1,0,1,0,0,0,12,2018,10,7,1,0,0,0,160.2,1,0
9908,2,0,1,2,0,0,0,193,2018,7,20,1,0,0,0,70.44,1,1
7438,2,0,2,2,2,0,0,41,2017,9,4,0,0,0,0,113.0,2,0
6879,2,0,2,2,0,0,1,68,2018,5,21,1,0,0,0,132.6,0,1
11591,2,0,0,4,0,0,0,141,2018,6,15,1,0,0,0,128.85,2,0
15822,2,0,2,2,0,0,0,150,2018,9,24,1,0,0,0,129.6,1,0
10475,2,0,1,2,0,0,0,129,2018,10,27,0,0,0,0,80.75,0,0
39945,2,0,1,2,0,0,0,3,2018,3,7,2,1,0,7,79.0,1,0
22822,2,0,1,2,0,0,0,305,2018,11,11,0,0,0,0,89.0,0,1
11872,2,0,0,3,0,0,0,40,2018,6,29,0,0,0,0,85.5,0,0
4010,2,0,0,3,0,0,1,95,2018,12,8,1,0,0,0,118.8,2,0
22047,3,0,1,0,0,0,1,45,2018,7,10,1,0,0,0,146.7,2,0
6149,2,0,2,4,0,0,0,135,2018,10,9,0,0,0,0,78.65,0,0
9061,2,0,0,2,1,0,0,125,2018,6,17,1,0,0,0,116.1,1,0
16410,2,1,0,1,0,0,0,45,2018,4,8,1,0,0,0,112.5,1,0
29671,2,0,1,1,0,0,0,282,2017,10,21,0,0,0,0,76.67,0,0
13817,2,0,0,4,0,0,0,110,2018,4,9,0,0,0,0,70.0,0,0
25421,2,0,2,1,1,0,0,91,2018,4,3,1,0,0,0,58.9,1,0
