id,CementComponent,BlastFurnaceSlag,FlyAshComponent,WaterComponent,SuperplasticizerComponent,CoarseAggregateComponent,FineAggregateComponent,AgeInDays,Strength
5173,277.1,0.0,97.4,160.6,11.8,973.9,875.6,28,74.7
3288,425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,9.62
1010,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,47.03
1029,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,7.32
4665,339.0,0.0,0.0,197.0,0.0,968.0,781.0,28,47.81
828,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,28,37.91
3525,382.0,0.0,0.0,186.0,0.0,1111.0,784.0,28,32.76
96,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,360,38.02
1669,102.0,153.0,0.0,192.0,0.0,887.0,942.0,7,14.59
4154,200.0,0.0,200.0,190.0,0.0,1145.0,660.0,7,14.14
2818,238.0,0.0,0.0,185.0,0.0,1119.0,789.0,28,37.4
621,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56,65.2
566,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,36.84
2680,300.0,0.0,0.0,182.0,0.0,1075.0,745.0,28,39.15
1400,296.0,0.0,106.3,171.5,10.4,935.4,753.5,28,36.25
51,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,15.36
1831,154.8,0.0,142.8,193.3,7.1,951.0,804.9,28,15.87
1650,339.2,0.0,0.0,185.7,0.0,1069.0,721.0,28,41.24
745,376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100,50.24
3727,295.8,0.0,0.0,185.7,0.0,1091.4,769.3,28,23.52
4599,318.8,212.5,0.0,155.7,14.3,852.1,781.5,28,71.3
1305,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,38.7
195,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,47.1
1176,400.0,0.0,0.0,186.0,0.0,1125.0,745.0,365,39.42
3830,289.0,0.0,0.0,192.0,0.0,913.2,895.3,3,11.36
802,350.0,0.0,0.0,203.0,0.0,974.0,775.0,180,37.23
3513,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,52.43
4104,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,90,33.56
1168,331.0,0.0,0.0,192.0,0.0,978.0,825.0,3,15.61
3625,136.0,0.0,126.0,172.0,10.0,923.0,764.0,28,29.55
2988,203.5,305.3,0.0,183.9,0.0,963.4,630.0,7,19.01
3413,236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,32.72
3277,178.0,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.77
4967,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,28,24.28
644,144.7,139.4,0.0,193.3,9.4,880.4,678.0,28,32.76
1345,331.0,0.0,0.0,192.0,0.0,978.0,825.0,90,29.39
4022,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,48.4
1438,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,46.93
120,192.0,288.0,0.0,192.0,0.0,929.8,716.1,7,21.92
4080,152.6,144.2,112.3,178.5,8.1,1001.8,688.7,28,6.9
2658,238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28,26.32
1820,255.0,0.0,0.0,192.0,0.0,889.8,945.0,28,25.2
4353,300.0,0.0,0.0,184.0,0.0,1075.0,795.0,180,46.2
2389,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14,38.11
2862,331.0,170.0,0.0,195.0,3.0,811.0,802.0,28,61.89
1813,446.0,24.0,79.0,162.0,11.6,967.0,712.0,3,35.3
2664,310.0,0.0,0.0,192.0,0.0,970.0,850.0,180,42.7
134,307.0,0.0,0.0,193.0,0.0,968.0,812.0,180,24.28
2876,397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28,30.14
3657,251.4,0.0,118.3,188.5,4.1,1028.4,757.7,3,20.28
511,313.0,145.0,0.0,178.0,8.0,870.0,730.0,28,33.69
62,439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,28.24
4091,190.3,0.0,0.0,185.7,0.0,1047.8,748.5,28,31.88
1437,167.0,75.4,167.0,164.0,7.9,1007.3,770.1,28,61.86
3034,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,365,42.13
3038,339.0,0.0,0.0,185.0,0.0,1069.0,774.0,7,19.99
122,480.0,0.0,0.0,192.0,0.0,936.2,712.2,28,55.65
2172,213.8,98.1,24.5,181.7,24.5,1066.0,785.5,28,50.6
3365,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,53.96
4605,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,44.7
3182,339.2,0.0,0.0,192.0,0.0,935.4,781.2,7,11.98
567,133.0,0.0,0.0,192.0,0.0,927.4,839.2,7,14.5
4478,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,74.19
3729,238.1,0.0,94.1,186.7,7.0,949.9,847.0,7,50.77
864,300.0,0.0,0.0,185.0,0.0,1075.0,795.0,7,9.45
4101,376.0,0.0,0.0,214.6,0.0,1003.5,762.4,3,35.3
