row_id,date,country,store,product,num_sold
25456,2018-11-15,Finland,KaggleRama,Kaggle Hat,539
14983,2017-04-12,Norway,KaggleMart,Kaggle Hat,625
18009,2017-09-27,Norway,KaggleRama,Kaggle Mug,548
22326,2018-05-25,Norway,KaggleMart,Kaggle Mug,430
10114,2016-07-15,Sweden,KaggleRama,Kaggle Hat,627
10152,2016-07-18,Finland,KaggleMart,Kaggle Mug,137
12082,2016-11-02,Finland,KaggleRama,Kaggle Hat,418
2697,2015-05-30,Sweden,KaggleRama,Kaggle Mug,430
4534,2015-09-09,Sweden,KaggleRama,Kaggle Hat,485
22862,2018-06-24,Finland,KaggleMart,Kaggle Sticker,144
20441,2018-02-09,Norway,KaggleRama,Kaggle Sticker,298
19939,2018-01-12,Sweden,KaggleMart,Kaggle Hat,498
24647,2018-10-01,Finland,KaggleRama,Kaggle Sticker,169
21109,2018-03-18,Sweden,KaggleMart,Kaggle Hat,588
4550,2015-09-10,Sweden,KaggleMart,Kaggle Sticker,97
12097,2016-11-03,Finland,KaggleMart,Kaggle Hat,251
8932,2016-05-11,Finland,KaggleRama,Kaggle Hat,680
2220,2015-05-04,Norway,KaggleMart,Kaggle Mug,332
8952,2016-05-12,Norway,KaggleMart,Kaggle Mug,261
22872,2018-06-24,Sweden,KaggleMart,Kaggle Mug,259
5954,2015-11-27,Sweden,KaggleMart,Kaggle Sticker,115
9720,2016-06-24,Finland,KaggleMart,Kaggle Mug,153
902,2015-02-20,Finland,KaggleMart,Kaggle Sticker,80
17378,2017-08-23,Norway,KaggleMart,Kaggle Sticker,158
9162,2016-05-24,Finland,KaggleMart,Kaggle Mug,157
23057,2018-07-04,Sweden,KaggleRama,Kaggle Sticker,191
513,2015-01-29,Norway,KaggleRama,Kaggle Mug,556
14224,2017-03-01,Finland,KaggleRama,Kaggle Hat,700
7558,2016-02-24,Sweden,KaggleRama,Kaggle Hat,749
2115,2015-04-28,Norway,KaggleRama,Kaggle Mug,457
21336,2018-03-31,Norway,KaggleMart,Kaggle Mug,506
12843,2016-12-14,Norway,KaggleRama,Kaggle Mug,527
3501,2015-07-14,Norway,KaggleRama,Kaggle Mug,421
25472,2018-11-16,Finland,KaggleMart,Kaggle Sticker,108
251,2015-01-14,Sweden,KaggleRama,Kaggle Sticker,177
6518,2015-12-29,Finland,KaggleMart,Kaggle Sticker,200
10092,2016-07-14,Sweden,KaggleMart,Kaggle Mug,156
8293,2016-04-05,Sweden,KaggleMart,Kaggle Hat,452
7217,2016-02-05,Sweden,KaggleRama,Kaggle Sticker,171
13624,2017-01-26,Sweden,KaggleRama,Kaggle Hat,745
1601,2015-03-30,Sweden,KaggleRama,Kaggle Sticker,161
23248,2018-07-15,Norway,KaggleRama,Kaggle Hat,1238
16027,2017-06-09,Norway,KaggleMart,Kaggle Hat,802
