row_id,date,country,store,product,num_sold
38747,2019-03-19,France,KaggleMart,Kaggle for Kids: One Smart Goose,366
66323,2020-10-13,Poland,KaggleMart,Kaggle for Kids: One Smart Goose,378
61459,2020-07-04,Germany,KaggleMart,Kaggle for Kids: One Smart Goose,497
50777,2019-11-24,Spain,KaggleMart,Kaggle Getting Started,278
52928,2020-01-08,Poland,KaggleMart,Kaggle Advanced Techniques,422
8748,2017-07-02,France,KaggleRama,Kaggle Advanced Techniques,132
11547,2017-08-29,Italy,KaggleMart,Kaggle for Kids: One Smart Goose,322
16379,2017-12-08,France,KaggleMart,Kaggle for Kids: One Smart Goose,374
12475,2017-09-17,Spain,KaggleMart,Kaggle for Kids: One Smart Goose,286
46283,2019-08-23,France,KaggleMart,Kaggle for Kids: One Smart Goose,353
30042,2018-09-18,Spain,KaggleMart,Kaggle Recipe Book,147
21257,2018-03-19,Spain,KaggleMart,Kaggle Getting Started,173
18163,2018-01-14,Germany,KaggleMart,Kaggle for Kids: One Smart Goose,505
55078,2020-02-22,Germany,KaggleRama,Kaggle Recipe Book,89
43422,2019-06-24,Italy,KaggleRama,Kaggle Recipe Book,52
41498,2019-05-15,Italy,KaggleMart,Kaggle Recipe Book,157
35451,2019-01-09,Italy,KaggleMart,Kaggle for Kids: One Smart Goose,335
473,2017-01-10,Spain,KaggleMart,Kaggle Getting Started,210
25684,2018-06-20,Belgium,KaggleRama,Kaggle Advanced Techniques,150
28954,2018-08-27,France,KaggleMart,Kaggle Recipe Book,198
17056,2017-12-22,Germany,KaggleMart,Kaggle Advanced Techniques,409
34009,2018-12-10,Italy,KaggleMart,Kaggle Getting Started,249
17208,2017-12-25,Italy,KaggleMart,Kaggle Advanced Techniques,301
6974,2017-05-26,France,KaggleRama,Kaggle Recipe Book,65
49174,2019-10-22,Germany,KaggleRama,Kaggle Recipe Book,77
8474,2017-06-26,Italy,KaggleMart,Kaggle Recipe Book,145
3780,2017-03-20,Poland,KaggleRama,Kaggle Advanced Techniques,44
18348,2018-01-18,France,KaggleRama,Kaggle Advanced Techniques,128
25162,2018-06-09,France,KaggleMart,Kaggle Recipe Book,204
19370,2018-02-08,Italy,KaggleMart,Kaggle Recipe Book,197
55641,2020-03-05,France,KaggleMart,Kaggle Getting Started,216
58378,2020-05-01,France,KaggleMart,Kaggle Recipe Book,180
25665,2018-06-19,Poland,KaggleMart,Kaggle Getting Started,98
4689,2017-04-08,Poland,KaggleMart,Kaggle Getting Started,81
13748,2017-10-14,Germany,KaggleRama,Kaggle Advanced Techniques,123
37738,2019-02-26,France,KaggleMart,Kaggle Recipe Book,206
42131,2019-05-28,Poland,KaggleMart,Kaggle for Kids: One Smart Goose,139
8180,2017-06-20,Germany,KaggleRama,Kaggle Advanced Techniques,119
10173,2017-07-31,Spain,KaggleRama,Kaggle Getting Started,73
40243,2019-04-19,Germany,KaggleMart,Kaggle for Kids: One Smart Goose,391
53057,2020-01-11,Germany,KaggleMart,Kaggle Getting Started,335
8375,2017-06-24,Germany,KaggleRama,Kaggle for Kids: One Smart Goose,149
57903,2020-04-21,France,KaggleRama,Kaggle for Kids: One Smart Goose,118
27305,2018-07-23,Spain,KaggleMart,Kaggle Getting Started,208
541,2017-01-12,France,KaggleRama,Kaggle Getting Started,82
54062,2020-02-01,France,KaggleRama,Kaggle Recipe Book,107
12597,2017-09-20,Germany,KaggleRama,Kaggle Getting Started,126
12668,2017-09-21,Spain,KaggleRama,Kaggle Advanced Techniques,60
68634,2020-11-30,Spain,KaggleMart,Kaggle Recipe Book,247
33466,2018-11-29,France,KaggleMart,Kaggle Recipe Book,225
10925,2017-08-16,Italy,KaggleRama,Kaggle Getting Started,86
5201,2017-04-19,Germany,KaggleMart,Kaggle Getting Started,297
8935,2017-07-06,Belgium,KaggleRama,Kaggle for Kids: One Smart Goose,135
8239,2017-06-21,Italy,KaggleRama,Kaggle for Kids: One Smart Goose,95
41951,2019-05-24,Spain,KaggleRama,Kaggle for Kids: One Smart Goose,88
26271,2018-07-02,France,KaggleRama,Kaggle for Kids: One Smart Goose,119
913,2017-01-20,Belgium,KaggleMart,Kaggle Getting Started,290
54930,2020-02-19,Germany,KaggleMart,Kaggle Recipe Book,228
15679,2017-11-23,Italy,KaggleRama,Kaggle for Kids: One Smart Goose,98
